"","frmstat","tostat","Date_of_Travel"
"764","LHR","DUB","18-04-2015"
"765","LHR","DUB","08-08-2014"
"766","LHR","DUB","30-12-2014"
"767","LHR","DUB","24-05-2015"
"768","LHR","DUB","27-09-2014"
"769","LHR","DUB","10-10-2014"
"770","LHR","DUB","12-01-2015"
"771","LHR","DUB","23-08-2014"
"772","LHR","DUB","13-10-2014"
"773","LHR","DUB","12-12-2014"
"774","LHR","DUB","01-04-2015"
"775","LHR","DUB","03-04-2015"
"776","LHR","DUB","11-04-2015"
"778","LHR","DUB","21-11-2014"
"779","LHR","JFK","04-10-2014"
"780","LHR","JFK","11-11-2014"
"781","LHR","JFK","11-07-2014"
"782","LHR","JFK","06-08-2014"
"783","LHR","JFK","05-07-2014"
"784","LHR","JFK","02-05-2015"
"785","LHR","JFK","29-01-2015"
"786","LHR","JFK","30-03-2015"
"787","LHR","JFK","20-01-2015"
"788","LHR","JFK","29-04-2015"
"789","LHR","JFK","06-04-2015"
"790","LHR","JFK","12-02-2015"
"791","LHR","JFK","07-04-2015"
"792","LHR","JFK","25-10-2014"
"793","LHR","JFK","14-02-2015"
"795","LHR","JFK","04-11-2014"
"796","LHR","JFK","30-01-2015"
"797","LHR","JFK","09-10-2014"
"798","LHR","LAX","19-07-2014"
"799","LHR","LAX","05-12-2014"
"800","LHR","LAX","26-08-2014"
"801","LHR","LAX","26-10-2014"
"802","LHR","LAX","13-12-2014"
"803","LHR","LAX","18-05-2015"
"804","LHR","LAX","25-08-2014"
"805","LHR","LAX","03-12-2014"
"806","LHR","LAX","14-09-2014"
"807","LHR","LAX","04-02-2015"
"808","LHR","LAX","03-08-2014"
"835","LHR","LUV","23-10-2014"
"836","LHR","LUV","12-09-2014"
"837","LHR","LUV","23-11-2014"
"838","LHR","LUV","05-01-2015"
"839","LHR","LUV","01-05-2015"
"840","LHR","LUV","11-03-2015"
"841","LHR","LUV","02-04-2015"
"842","LHR","LUV","21-11-2014"
"843","LHR","LUV","03-10-2014"
"844","LHR","LUV","17-08-2014"
"845","LHR","LUV","15-08-2014"
"846","LHR","MAD","31-07-2014"
"847","LHR","MAD","13-02-2015"
"848","LHR","MAD","09-11-2014"
"849","LHR","MAD","28-05-2015"
"850","LHR","MAD","20-09-2014"
"851","LHR","MAD","13-07-2014"
"852","LHR","MAD","22-05-2015"
"853","LHR","MAD","22-02-2015"
"854","LHR","MAD","06-03-2015"
"855","LHR","MAD","22-07-2014"
"856","LHR","MAD","03-05-2015"
"858","LHR","MAD","18-12-2014"
"859","LHR","MAD","01-09-2014"
"860","LHR","MAD","09-04-2015"
"861","LHR","MAD","26-02-2015"
"862","LHR","MAD","29-08-2014"
"864","LHR","MAD","21-02-2015"
"865","LHR","MUM","08-01-2015"
"866","LHR","MUM","12-03-2015"
"867","LHR","MUM","01-01-2015"
"868","LHR","MUM","17-11-2014"
"869","LHR","MUM","20-04-2015"
"870","LHR","MUM","01-02-2015"
"871","LHR","MUM","11-06-2015"
"872","LHR","MUM","21-09-2014"
"873","LHR","MUM","24-02-2015"
"874","LHR","MUM","27-02-2015"
"875","LHR","MUM","23-07-2014"
"876","LHR","MUM","07-01-2015"
"877","LHR","MUM","04-09-2014"
"878","LHR","MUM","17-05-2015"
"879","LHR","NDL","02-06-2015"
"880","LHR","NDL","23-08-2014"
"881","LHR","NDL","13-11-2014"
"882","LHR","NDL","25-02-2015"
"883","LHR","NDL","04-10-2014"
"884","LHR","NDL","23-01-2015"
"885","LHR","NDL","17-08-2014"
"886","LHR","NDL","04-04-2015"
"887","LHR","NDL","09-11-2014"
"888","LHR","NDL","10-02-2015"
"889","LHR","NDL","22-01-2015"
"890","LHR","NDL","02-05-2015"
"891","LHR","NDL","09-09-2014"
"892","LHR","NDL","26-01-2015"
"893","LHR","NDL","08-12-2014"
"894","LHR","NDL","01-04-2015"
"895","LHR","NDL","28-03-2015"
"896","LHR","NDL","28-10-2014"
"897","LHR","NDL","22-10-2014"
"898","LHR","NDL","06-04-2015"
"899","LHR","NDL","29-05-2015"
"900","LHR","NDL","03-10-2014"
"901","LHR","NDL","21-07-2014"
"902","LUV","BLR","09-11-2014"
"903","LUV","BLR","16-06-2015"
"904","LUV","BLR","30-03-2015"
"905","LUV","BLR","20-02-2015"
"906","LUV","BLR","11-10-2014"
"907","LUV","BLR","24-07-2014"
"908","LUV","BLR","08-03-2015"
"909","LUV","BLR","11-03-2015"
"910","LUV","BLR","07-12-2014"
"911","LUV","BLR","05-02-2015"
"912","LUV","BLR","14-10-2014"
"913","LUV","BLR","15-01-2015"
"914","LUV","BLR","08-08-2014"
"915","LUV","BLR","20-09-2014"
"916","LUV","BLR","02-03-2015"
"917","LUV","BLR","06-11-2014"
"918","LUV","BLR","08-07-2014"
"919","LUV","DFW","26-01-2015"
"920","LUV","DFW","28-10-2014"
"921","LUV","DFW","21-02-2015"
"922","LUV","DFW","19-06-2015"
"923","LUV","DFW","01-11-2014"
"924","LUV","DFW","21-03-2015"
"925","LUV","DFW","21-09-2014"
"926","LUV","DFW","03-08-2014"
"927","LUV","DFW","20-07-2014"
"928","LUV","DFW","13-05-2015"
"929","LUV","DFW","31-03-2015"
"930","LUV","DFW","22-09-2014"
"931","LUV","DFW","20-05-2015"
"932","LUV","DUB","21-10-2014"
"933","LUV","DUB","18-03-2015"
"934","LUV","DUB","28-05-2015"
"935","LUV","DUB","24-09-2014"
"936","LUV","DUB","23-08-2014"
"937","LUV","DUB","17-09-2014"
"938","LUV","DUB","10-02-2015"
"939","LUV","DUB","03-09-2014"
"940","LUV","DUB","16-09-2014"
"941","LUV","DUB","27-12-2014"
"942","LUV","DUB","24-11-2014"
"943","LUV","DUB","05-03-2015"
"944","LUV","DUB","26-11-2014"
"945","LUV","DUB","26-12-2014"
"946","LUV","DUB","02-04-2015"
"947","LUV","DUB","16-12-2014"
"948","LUV","DUB","04-03-2015"
"949","LUV","DUB","23-05-2015"
"951","LUV","JFK","05-04-2015"
"952","LUV","JFK","12-06-2015"
"953","LUV","JFK","29-04-2015"
"954","LUV","JFK","15-03-2015"
"955","LUV","JFK","04-02-2015"
"956","LUV","JFK","25-10-2014"
"957","LUV","JFK","19-05-2015"
"958","LUV","JFK","29-12-2014"
"959","LUV","JFK","22-09-2014"
"960","LUV","LAX","12-10-2014"
"961","LUV","LAX","13-03-2015"
"962","LUV","LAX","10-07-2014"
"963","LUV","LAX","09-08-2014"
"964","LUV","LAX","20-12-2014"
"965","LUV","LAX","01-03-2015"
"966","LUV","LAX","19-10-2014"
"967","LUV","LAX","20-10-2014"
"968","LUV","LAX","05-01-2015"
"969","LUV","LAX","30-04-2015"
"970","LUV","LAX","03-11-2014"
"971","LUV","LHR","22-03-2015"
"972","LUV","LHR","06-03-2015"
"973","LUV","LHR","28-01-2015"
"974","LUV","LHR","16-02-2015"
"975","LUV","LHR","03-03-2015"
"976","LUV","LHR","04-08-2014"
"977","LUV","LHR","10-08-2014"
"978","LUV","LHR","22-04-2015"
"1002","LUV","MAD","23-04-2015"
"1003","LUV","MAD","19-02-2015"
"1004","LUV","MAD","10-05-2015"
"1005","LUV","MAD","14-11-2014"
"1006","LUV","MAD","04-08-2014"
"1009","LUV","MAD","26-10-2014"
"1010","LUV","MAD","20-12-2014"
"1011","LUV","MAD","17-02-2015"
"1012","LUV","MAD","29-09-2014"
"1013","LUV","MAD","18-04-2015"
"1014","LUV","MAD","31-08-2014"
"1015","LUV","MAD","16-10-2014"
"1017","LUV","MAD","28-09-2014"
"1018","LUV","MAD","24-03-2015"
"1019","LUV","MAD","23-12-2014"
"1020","LUV","MAD","01-05-2015"
"1021","LUV","MAD","26-01-2015"
"1022","LUV","MAD","22-02-2015"
"1023","LUV","MAD","19-12-2014"
"1024","LUV","MAD","28-07-2014"
"1025","LUV","MUM","02-08-2014"
"1026","LUV","MUM","11-09-2014"
"1027","LUV","MUM","18-05-2015"
"1028","LUV","MUM","20-02-2015"
"1029","LUV","MUM","27-01-2015"
"1030","LUV","MUM","07-04-2015"
"1031","LUV","MUM","15-02-2015"
"1032","LUV","MUM","14-09-2014"
"1033","LUV","MUM","25-10-2014"
"1034","LUV","MUM","26-04-2015"
"1035","LUV","MUM","30-05-2015"
"1036","LUV","MUM","27-03-2015"
"1037","LUV","MUM","19-09-2014"
"1038","LUV","MUM","06-02-2015"
"1039","LUV","MUM","25-11-2014"
"1040","LUV","NDL","14-07-2014"
"1041","LUV","NDL","24-02-2015"
"1042","LUV","NDL","21-01-2015"
"1043","LUV","NDL","20-01-2015"
"1044","LUV","NDL","26-04-2015"
"1045","LUV","NDL","17-07-2014"
"1046","LUV","NDL","14-08-2014"
"1047","LUV","NDL","11-01-2015"
"1048","LUV","NDL","12-11-2014"
"1049","LUV","NDL","22-07-2014"
"1050","MAD","BLR","08-01-2015"
"1051","MAD","BLR","25-11-2014"
"1052","MAD","BLR","26-10-2014"
"1053","MAD","BLR","10-04-2015"
"1054","MAD","BLR","28-07-2014"
"1055","MAD","BLR","11-05-2015"
"1056","MAD","BLR","14-03-2015"
"1057","MAD","BLR","01-12-2014"
"1058","MAD","BLR","20-05-2015"
"1059","MAD","BLR","10-11-2014"
"1060","MAD","BLR","31-07-2014"
"1061","MAD","BLR","16-09-2014"
"1062","MAD","BLR","11-08-2014"
"1063","MAD","BLR","26-01-2015"
"1064","MAD","BLR","28-12-2014"
"1065","MAD","BLR","19-02-2015"
"1066","MAD","BLR","13-03-2015"
"1067","MAD","BLR","12-11-2014"
"1068","MAD","BLR","06-10-2014"
"1069","MAD","DFW","24-10-2014"
"1070","MAD","DFW","20-03-2015"
"1071","MAD","DFW","28-08-2014"
"1072","MAD","DFW","03-02-2015"
"1073","MAD","DFW","19-11-2014"
"1074","MAD","DFW","01-12-2014"
"1075","MAD","DFW","17-10-2014"
"1076","MAD","DFW","29-08-2014"
"1077","MAD","DFW","31-01-2015"
"1078","MAD","DFW","04-12-2014"
"1079","MAD","DFW","29-05-2015"
"1080","MAD","DFW","04-01-2015"
"1081","MAD","DFW","01-10-2014"
"1082","MAD","DFW","06-06-2015"
"1083","MAD","DFW","29-04-2015"
"1084","MAD","DFW","16-05-2015"
"1085","MAD","DFW","07-07-2014"
"1086","MAD","DFW","05-10-2014"
"1087","MAD","DUB","28-05-2015"
"1088","MAD","DUB","23-12-2014"
"1089","MAD","DUB","17-10-2014"
"1090","MAD","DUB","28-04-2015"
"1091","MAD","DUB","20-04-2015"
"1092","MAD","DUB","06-09-2014"
"1093","MAD","DUB","15-06-2015"
"1094","MAD","DUB","05-10-2014"
"1095","MAD","DUB","06-10-2014"
"1096","MAD","DUB","12-12-2014"
"1097","MAD","DUB","09-11-2014"
"1098","MAD","DUB","23-02-2015"
"1099","MAD","DUB","23-11-2014"
"1100","MAD","DUB","16-06-2015"
"1101","MAD","DUB","11-08-2014"
"1103","MAD","DUB","19-05-2015"
"1104","MAD","DUB","05-07-2014"
"1105","MAD","DUB","27-09-2014"
"1106","MAD","DUB","08-03-2015"
"1107","MAD","DUB","23-08-2014"
"1108","MAD","DUB","21-04-2015"
"1109","MAD","JFK","21-03-2015"
"1110","MAD","JFK","13-08-2014"
"1111","MAD","JFK","05-06-2015"
"1112","MAD","JFK","08-06-2015"
"1113","MAD","JFK","05-03-2015"
"1114","MAD","JFK","16-02-2015"
"1115","MAD","JFK","15-01-2015"
"1116","MAD","JFK","02-02-2015"
"1117","MAD","JFK","29-07-2014"
"1118","MAD","JFK","03-02-2015"
"1119","MAD","JFK","25-04-2015"
"1120","MAD","JFK","17-01-2015"
"1121","MAD","JFK","30-05-2015"
"1122","MAD","JFK","30-01-2015"
"1123","MAD","JFK","02-11-2014"
"1124","MAD","JFK","07-08-2014"
"1125","MAD","LAX","19-03-2015"
"1126","MAD","LAX","16-01-2015"
"1127","MAD","LAX","07-03-2015"
"1128","MAD","LAX","11-05-2015"
"1129","MAD","LAX","10-03-2015"
"1130","MAD","LAX","12-12-2014"
"1131","MAD","LAX","22-07-2014"
"1132","MAD","LAX","10-12-2014"
"1133","MAD","LAX","29-07-2014"
"1134","MAD","LAX","13-04-2015"
"1135","MAD","LHR","10-02-2015"
"1136","MAD","LHR","04-03-2015"
"1137","MAD","LHR","09-07-2014"
"1138","MAD","LHR","15-05-2015"
"1139","MAD","LHR","29-05-2015"
"1140","MAD","LHR","25-02-2015"
"1141","MAD","LHR","22-02-2015"
"1142","MAD","LHR","01-09-2014"
"1143","MAD","LHR","19-04-2015"
"1144","MAD","LHR","15-09-2014"
"1145","MAD","LHR","19-11-2014"
"1146","MAD","LHR","31-07-2014"
"1147","MAD","LHR","15-12-2014"
"1148","MAD","LUV","11-04-2015"
"1149","MAD","LUV","10-02-2015"
"1150","MAD","LUV","06-07-2014"
"1151","MAD","LUV","25-11-2014"
"1152","MAD","LUV","08-02-2015"
"1153","MAD","LUV","21-06-2015"
"1154","MAD","LUV","29-05-2015"
"1155","MAD","LUV","04-11-2014"
"1156","MAD","LUV","04-06-2015"
"1157","MAD","LUV","08-03-2015"
"1158","MAD","LUV","31-05-2015"
"1159","MAD","LUV","06-08-2014"
"1160","MAD","LUV","18-05-2015"
"1161","MAD","LUV","15-03-2015"
"1162","MAD","LUV","16-01-2015"
"1163","MAD","LUV","06-05-2015"
"1164","MAD","LUV","10-07-2014"
"1165","MAD","LUV","05-06-2015"
"1183","MAD","MUM","31-01-2015"
"1184","MAD","MUM","29-04-2015"
"1185","MAD","MUM","22-04-2015"
"1186","MAD","MUM","13-12-2014"
"1187","MAD","MUM","02-11-2014"
"1188","MAD","MUM","10-09-2014"
"1189","MAD","MUM","06-06-2015"
"1190","MAD","MUM","27-10-2014"
"1191","MAD","MUM","18-10-2014"
"1192","MAD","MUM","14-10-2014"
"1193","MAD","MUM","11-08-2014"
"1194","MAD","MUM","27-07-2014"
"1195","MAD","MUM","11-05-2015"
"1196","MAD","MUM","30-09-2014"
"1197","MAD","MUM","14-12-2014"
"1198","MAD","MUM","30-10-2014"
"1199","MAD","MUM","19-12-2014"
"1200","MAD","MUM","15-07-2014"
"1201","MAD","MUM","02-08-2014"
"1202","MAD","MUM","24-09-2014"
"1203","MAD","NDL","30-01-2015"
"1204","MAD","NDL","04-10-2014"
"1205","MAD","NDL","03-05-2015"
"1206","MAD","NDL","26-05-2015"
"1207","MAD","NDL","05-07-2014"
"1208","MAD","NDL","25-04-2015"
"1209","MUM","BLR","05-12-2014"
"1210","MUM","BLR","07-05-2015"
"1211","MUM","BLR","21-11-2014"
"1212","MUM","BLR","23-01-2015"
"1213","MUM","BLR","17-04-2015"
"1215","MUM","BLR","26-07-2014"
"1216","MUM","BLR","27-08-2014"
"1217","MUM","BLR","11-07-2014"
"1218","MUM","BLR","17-03-2015"
"1219","MUM","BLR","23-12-2014"
"1220","MUM","DFW","21-02-2015"
"1221","MUM","DFW","16-12-2014"
"1222","MUM","DFW","10-05-2015"
"1223","MUM","DFW","22-05-2015"
"1224","MUM","DFW","20-05-2015"
"1225","MUM","DFW","28-08-2014"
"1226","MUM","DFW","19-08-2014"
"1227","MUM","DFW","29-07-2014"
"1228","MUM","DFW","11-05-2015"
"1229","MUM","DFW","20-09-2014"
"1230","MUM","DFW","13-02-2015"
"1231","MUM","DFW","20-03-2015"
"1232","MUM","DFW","23-06-2015"
"1233","MUM","DUB","26-02-2015"
"1234","MUM","DUB","19-04-2015"
"1235","MUM","DUB","11-10-2014"
"1236","MUM","DUB","15-12-2014"
"1237","MUM","DUB","07-07-2014"
"1238","MUM","DUB","21-11-2014"
"1239","MUM","DUB","02-03-2015"
"1240","MUM","DUB","24-02-2015"
"1241","MUM","DUB","13-09-2014"
"1242","MUM","DUB","28-10-2014"
"1243","MUM","DUB","01-01-2015"
"1244","MUM","DUB","16-03-2015"
"1245","MUM","DUB","15-05-2015"
"1246","MUM","DUB","25-07-2014"
"1247","MUM","DUB","08-09-2014"
"1248","MUM","DUB","03-10-2014"
"1249","MUM","DUB","28-05-2015"
"1250","MUM","JFK","03-03-2015"
"1251","MUM","JFK","20-03-2015"
"1252","MUM","JFK","05-07-2014"
"1253","MUM","JFK","30-08-2014"
"1254","MUM","JFK","29-11-2014"
"1255","MUM","JFK","31-01-2015"
"1256","MUM","JFK","18-09-2014"
"1257","MUM","JFK","15-03-2015"
"1258","MUM","JFK","05-04-2015"
"1259","MUM","JFK","28-11-2014"
"1260","MUM","JFK","24-01-2015"
"1261","MUM","JFK","04-07-2014"
"1262","MUM","JFK","24-09-2014"
"1263","MUM","JFK","13-04-2015"
"1265","MUM","LAX","09-05-2015"
"1266","MUM","LAX","11-01-2015"
"1267","MUM","LAX","28-01-2015"
"1268","MUM","LAX","09-02-2015"
"1269","MUM","LAX","03-02-2015"
"1270","MUM","LAX","13-08-2014"
"1271","MUM","LAX","07-07-2014"
"1272","MUM","LAX","24-05-2015"
"1273","MUM","LAX","01-08-2014"
"1274","MUM","LAX","19-08-2014"
"1275","MUM","LAX","09-03-2015"
"1276","MUM","LAX","08-06-2015"
"1277","MUM","LAX","30-04-2015"
"1278","MUM","LAX","03-10-2014"
"1279","MUM","LAX","07-11-2014"
"1280","MUM","LAX","21-01-2015"
"1281","MUM","LAX","05-12-2014"
"1282","MUM","LHR","06-04-2015"
"1283","MUM","LHR","02-09-2014"
"1284","MUM","LHR","20-09-2014"
"1285","MUM","LHR","15-11-2014"
"1286","MUM","LHR","27-02-2015"
"1287","MUM","LHR","11-10-2014"
"1288","MUM","LHR","09-11-2014"
"1289","MUM","LHR","14-02-2015"
"1290","MUM","LHR","09-12-2014"
"1291","MUM","LHR","07-02-2015"
"1292","MUM","LHR","24-08-2014"
"1293","MUM","LHR","05-10-2014"
"1294","MUM","LHR","22-11-2014"
"1295","MUM","LHR","26-01-2015"
"1296","MUM","LHR","17-09-2014"
"1297","MUM","LHR","27-08-2014"
"1298","MUM","LUV","05-02-2015"
"1299","MUM","LUV","25-05-2015"
"1300","MUM","LUV","31-12-2014"
"1301","MUM","LUV","28-10-2014"
"1302","MUM","LUV","13-01-2015"
"1303","MUM","LUV","01-01-2015"
"1304","MUM","LUV","16-10-2014"
"1305","MUM","LUV","20-07-2014"
"1306","MUM","LUV","18-03-2015"
"1307","MUM","LUV","05-05-2015"
"1308","MUM","LUV","17-09-2014"
"1309","MUM","LUV","21-05-2015"
"1311","MUM","LUV","18-08-2014"
"1312","MUM","LUV","16-11-2014"
"1313","MUM","LUV","17-03-2015"
"1314","MUM","LUV","25-03-2015"
"1315","MUM","LUV","21-06-2015"
"1316","MUM","LUV","25-04-2015"
"1317","MUM","LUV","28-08-2014"
"1318","MUM","LUV","06-01-2015"
"1319","MUM","LUV","12-03-2015"
"1320","MUM","LUV","16-04-2015"
"1321","MUM","LUV","07-12-2014"
"1322","MUM","LUV","16-07-2014"
"1323","MUM","LUV","09-11-2014"
"1324","MUM","LUV","10-02-2015"
"1325","MUM","LUV","04-04-2015"
"1326","MUM","LUV","11-12-2014"
"1327","MUM","LUV","17-12-2014"
"1328","MUM","MAD","21-02-2015"
"1329","MUM","MAD","10-07-2014"
"1330","MUM","MAD","11-12-2014"
"1331","MUM","MAD","12-01-2015"
"1332","MUM","MAD","30-08-2014"
"1333","MUM","MAD","08-07-2014"
"1334","MUM","MAD","05-05-2015"
"1335","MUM","MAD","02-05-2015"
"1336","MUM","MAD","29-10-2014"
"1346","MUM","NDL","08-10-2014"
"1347","MUM","NDL","06-03-2015"
"1348","MUM","NDL","18-12-2014"
"1349","MUM","NDL","01-09-2014"
"1350","MUM","NDL","14-04-2015"
"1351","MUM","NDL","12-10-2014"
"1352","MUM","NDL","21-12-2014"
"1353","MUM","NDL","18-06-2015"
"1354","MUM","NDL","15-01-2015"
"1355","MUM","NDL","19-03-2015"
"1356","MUM","NDL","13-08-2014"
"1357","MUM","NDL","24-07-2014"
"1358","MUM","NDL","29-10-2014"
"1359","MUM","NDL","13-04-2015"
"1360","MUM","NDL","07-02-2015"
"1361","MUM","NDL","27-02-2015"
"1362","MUM","NDL","09-10-2014"
"1363","NDL","BLR","17-01-2015"
"1364","NDL","BLR","25-08-2014"
"1365","NDL","BLR","06-05-2015"
"1366","NDL","BLR","05-09-2014"
"1367","NDL","BLR","04-12-2014"
"1368","NDL","BLR","17-06-2015"
"1369","NDL","BLR","23-05-2015"
"1370","NDL","BLR","24-08-2014"
"1371","NDL","BLR","01-09-2014"
"1372","NDL","DFW","10-04-2015"
"1373","NDL","DFW","27-12-2014"
"1374","NDL","DFW","28-01-2015"
"1375","NDL","DFW","20-09-2014"
"1376","NDL","DFW","16-11-2014"
"1377","NDL","DFW","30-03-2015"
"1378","NDL","DFW","06-05-2015"
"1379","NDL","DFW","23-09-2014"
"1380","NDL","DFW","03-05-2015"
"1381","NDL","DFW","15-08-2014"
"1382","NDL","DFW","16-07-2014"
"1383","NDL","DFW","13-01-2015"
"1384","NDL","DFW","15-03-2015"
"1385","NDL","DFW","26-08-2014"
"1386","NDL","DFW","09-05-2015"
"1387","NDL","DUB","16-08-2014"
"1388","NDL","DUB","16-07-2014"
"1389","NDL","DUB","07-09-2014"
"1390","NDL","DUB","30-01-2015"
"1391","NDL","DUB","27-12-2014"
"1392","NDL","DUB","16-10-2014"
"1393","NDL","DUB","09-03-2015"
"1394","NDL","DUB","25-12-2014"
"1395","NDL","DUB","05-03-2015"
"1396","NDL","DUB","27-10-2014"
"1397","NDL","DUB","19-07-2014"
"1398","NDL","DUB","01-09-2014"
"1399","NDL","DUB","30-05-2015"
"1400","NDL","DUB","10-06-2015"
"1401","NDL","DUB","16-02-2015"
"1402","NDL","DUB","12-10-2014"
"1403","NDL","DUB","27-08-2014"
"1404","NDL","DUB","11-12-2014"
"1405","NDL","JFK","28-07-2014"
"1406","NDL","JFK","22-02-2015"
"1407","NDL","JFK","07-04-2015"
"1408","NDL","JFK","08-05-2015"
"1409","NDL","JFK","13-05-2015"
"1410","NDL","JFK","01-08-2014"
"1411","NDL","JFK","22-12-2014"
"1412","NDL","JFK","28-01-2015"
"1413","NDL","JFK","17-09-2014"
"1414","NDL","JFK","13-06-2015"
"1415","NDL","JFK","28-09-2014"
"1416","NDL","JFK","23-11-2014"
"1417","NDL","JFK","12-01-2015"
"1418","NDL","LAX","24-08-2014"
"1419","NDL","LAX","27-05-2015"
"1420","NDL","LAX","15-03-2015"
"1421","NDL","LAX","16-08-2014"
"1422","NDL","LAX","22-02-2015"
"1423","NDL","LAX","31-10-2014"
"1424","NDL","LAX","02-04-2015"
"1425","NDL","LAX","24-05-2015"
"1426","NDL","LAX","16-09-2014"
"1427","NDL","LAX","19-09-2014"
"1428","NDL","LAX","18-03-2015"
"1429","NDL","LAX","09-05-2015"
"1431","NDL","LAX","18-11-2014"
"1432","NDL","LAX","10-01-2015"
"1433","NDL","LAX","02-12-2014"
"1434","NDL","LAX","24-01-2015"
"1435","NDL","LAX","23-08-2014"
"1436","NDL","LAX","18-08-2014"
"1437","NDL","LAX","15-05-2015"
"1438","NDL","LAX","09-02-2015"
"1439","NDL","LAX","30-01-2015"
"1440","NDL","LAX","28-02-2015"
"1441","NDL","LHR","22-10-2014"
"1442","NDL","LHR","20-11-2014"
"1443","NDL","LHR","12-09-2014"
"1444","NDL","LHR","02-11-2014"
"1445","NDL","LHR","25-01-2015"
"1446","NDL","LHR","24-12-2014"
"1447","NDL","LHR","11-09-2014"
"1448","NDL","LHR","15-05-2015"
"1449","NDL","LHR","13-05-2015"
"1452","NDL","LHR","13-12-2014"
"1453","NDL","LHR","15-04-2015"
"1454","NDL","LHR","09-05-2015"
"1455","NDL","LHR","14-11-2014"
"1456","NDL","LHR","19-09-2014"
"1457","NDL","LUV","16-07-2014"
"1458","NDL","LUV","22-02-2015"
"1459","NDL","LUV","19-06-2015"
"1460","NDL","LUV","16-12-2014"
"1461","NDL","LUV","04-01-2015"
"1462","NDL","LUV","06-08-2014"
"1464","NDL","LUV","11-05-2015"
"1465","NDL","LUV","18-07-2014"
"1466","NDL","LUV","09-06-2015"
"1467","NDL","LUV","15-01-2015"
"1468","NDL","LUV","16-09-2014"
"1469","NDL","LUV","28-11-2014"
"1470","NDL","LUV","04-07-2014"
"1471","NDL","LUV","06-06-2015"
"1472","NDL","LUV","29-11-2014"
"1473","NDL","LUV","27-09-2014"
"1474","NDL","MAD","05-03-2015"
"1475","NDL","MAD","14-12-2014"
"1476","NDL","MAD","21-07-2014"
"1477","NDL","MAD","14-09-2014"
"1478","NDL","MAD","10-03-2015"
"1479","NDL","MAD","08-12-2014"
"1480","NDL","MAD","24-08-2014"
"1481","NDL","MAD","14-07-2014"
"1482","NDL","MAD","10-11-2014"
"1484","NDL","MAD","12-09-2014"
"1485","NDL","MAD","15-01-2015"
"1486","NDL","MAD","05-11-2014"
"1487","NDL","MAD","08-06-2015"
"1488","NDL","MAD","06-04-2015"
"1489","NDL","MAD","06-01-2015"
"1490","NDL","MAD","13-02-2015"
"1491","NDL","MUM","07-04-2015"
"1492","NDL","MUM","21-10-2014"
"1493","NDL","MUM","02-09-2014"
"1494","NDL","MUM","18-01-2015"
"1495","NDL","MUM","01-03-2015"
"1496","NDL","MUM","07-02-2015"
"1497","NDL","MUM","06-11-2014"
"1498","NDL","MUM","21-05-2015"
"1499","NDL","MUM","08-02-2015"
"1500","NDL","MUM","11-04-2015"
"1501","NDL","MUM","19-02-2015"
"1502","NDL","MUM","16-12-2014"
"1503","NDL","MUM","01-12-2014"
"1504","NDL","MUM","10-07-2014"
"1505","NDL","MUM","21-06-2015"
"1506","NDL","MUM","04-03-2015"
"1507","NDL","MUM","17-01-2015"
"1508","NDL","MUM","02-06-2015"
"1509","NDL","MUM","14-04-2015"
"1510","NDL","MUM","19-10-2014"
"1511","NDL","MUM","24-09-2014"
"1512","NDL","MUM","12-11-2014"
